run,improved.competence.in.research.field,enhanced.scientific.profile,increased.scientific.competitiveness,increased.number.of.scientific.publications,improved.networking,improved.quality.of.scientific.publications,easier.access.to.leading.scientists,enabled.to.return.to.swiss.science.scene,current.position
1,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,"Other position, namely:"
1,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Lecturer
1,Rather accurate,Rather accurate,Very accurate,Very accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Completely inaccurate,SNSF professor
1,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,No assessment possible,Rather inaccurate,Completely inaccurate,"Other position, namely:"
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
1,Rather accurate,Rather accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Assistant Professor (without tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Lecturer
1,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,"Other position, namely:"
1,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Completely inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Scientific collaborator
1,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,"Other position, namely:"
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Assistant Professor (without tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Completely inaccurate,Scientific collaborator
1,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Completely inaccurate,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather accurate,Rather accurate,Completely inaccurate,Full professor
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,Associate professor
1,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Postdoc
1,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Assistant Professor (without tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,"Other position, namely:"
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
1,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Very accurate,SNSF professor
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,"Other position, namely:"
1,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
1,Rather accurate,Rather accurate,No assessment possible,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Completely inaccurate,Very accurate,Rather inaccurate,Rather accurate,Rather accurate,Completely inaccurate,
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
1,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,No assessment possible,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Completely inaccurate,Scientific collaborator
1,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Assistant Professor (with tenure track)
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
1,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather accurate,Rather inaccurate,No assessment possible,"Other position, namely:"
1,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,"Other position, namely:"
1,Rather accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,SNSF professor
1,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Completely inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Completely inaccurate,Very accurate,Completely inaccurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,"Other position, namely:"
2,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,Very accurate,Completely inaccurate,Postdoc
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,No assessment possible,"Other position, namely:"
2,No assessment possible,Very accurate,Rather accurate,No assessment possible,No assessment possible,No assessment possible,Rather accurate,No assessment possible,Associate professor
2,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Scientific collaborator
2,Rather inaccurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Very accurate,"Other position, namely:"
2,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Very accurate,Assistant
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,Rather accurate,Very accurate,Very accurate,Lecturer
2,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather accurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather inaccurate,Very accurate,Completely inaccurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,Lecturer
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Completely inaccurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Completely inaccurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Full professor
2,Rather accurate,Very accurate,Rather accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,Completely inaccurate,Assistant Professor (with tenure track)
2,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Assistant Professor (without tenure track)
2,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,No assessment possible,Full professor
2,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,"Other position, namely:"
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,SNSF professor
2,Rather inaccurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Full professor
2,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Rather inaccurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,Rather inaccurate,Very accurate,Lecturer
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Very accurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Lecturer
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Full professor
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Assistant Professor (without tenure track)
2,Rather accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,Rather inaccurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Full professor
2,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Very accurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,No assessment possible,SNSF professor
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,No assessment possible,Very accurate,Very accurate,Very accurate,No assessment possible,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Assistant Professor (without tenure track)
2,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Lecturer
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Associate professor
2,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather accurate,"Other position, namely:"
2,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,No assessment possible,Rather inaccurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Lecturer
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,No assessment possible,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Completely inaccurate,Full professor
2,Rather accurate,Very accurate,Very accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Associate professor
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,No assessment possible,Full professor
2,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Completely inaccurate,Associate professor
2,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Associate professor
2,Rather accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Lecturer
2,No assessment possible,No assessment possible,Rather accurate,Completely inaccurate,Completely inaccurate,No assessment possible,Rather inaccurate,Very accurate,SNSF professor
2,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Assistant Professor (with tenure track)
2,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,SNSF professor
2,Rather inaccurate,Rather inaccurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Very accurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
2,Rather accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,No assessment possible,No assessment possible,Rather accurate,"Other position, namely:"
2,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Completely inaccurate,Assistant
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Full professor
2,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,Very accurate,Very accurate,Assistant
2,Very accurate,Completely inaccurate,Rather inaccurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,Completely inaccurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,No assessment possible,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Associate professor
2,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Completely inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Assistant Professor (with tenure track)
2,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
2,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Full professor
2,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Lecturer
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Lecturer
2,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather accurate,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
2,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Rather accurate,No assessment possible,Lecturer
2,Rather inaccurate,Very accurate,Rather accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,Rather accurate,Full professor
2,Rather accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Full professor
2,No assessment possible,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,Very accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather inaccurate,Very accurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Completely inaccurate,Very accurate,Rather inaccurate,Very accurate,Full professor
2,Very accurate,Rather inaccurate,Rather accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,SNSF professor
2,Rather inaccurate,Very accurate,Very accurate,Completely inaccurate,Rather inaccurate,Completely inaccurate,Completely inaccurate,Completely inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Completely inaccurate,"Other position, namely:"
2,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Assistant Professor (without tenure track)
2,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Very accurate,Rather accurate,Rather inaccurate,Assistant Professor (with tenure track)
2,Rather accurate,Very accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,No assessment possible,Scientific collaborator
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,No assessment possible,Very accurate,No assessment possible,Assistant Professor (with tenure track)
2,Very accurate,Rather accurate,Rather inaccurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Rather accurate,Rather accurate,SNSF professor
2,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,No assessment possible,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Completely inaccurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,No assessment possible,SNSF professor
2,Rather accurate,Rather accurate,Very accurate,Very accurate,Rather inaccurate,Rather accurate,Rather accurate,Very accurate,"Other position, namely:"
2,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Full professor
2,Very accurate,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather inaccurate,"Other position, namely:"
2,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Associate professor
2,Very accurate,Rather accurate,Rather accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Associate professor
2,Rather accurate,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather inaccurate,Completely inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather accurate,Rather inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Scientific collaborator
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Rather inaccurate,Assistant Professor (with tenure track)
2,Very accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,No assessment possible,Lecturer
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,No assessment possible,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Associate professor
2,Rather inaccurate,Rather inaccurate,Completely inaccurate,Very accurate,Completely inaccurate,No assessment possible,Completely inaccurate,Rather inaccurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Completely inaccurate,Assistant Professor (without tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Completely inaccurate,Full professor
2,Rather accurate,Rather accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Rather accurate,"Other position, namely:"
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,Very accurate,Rather accurate,Assistant Professor (with tenure track)
2,Rather accurate,Rather accurate,Rather inaccurate,Rather inaccurate,Rather accurate,Rather inaccurate,Rather accurate,Rather inaccurate,Associate professor
2,Rather accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Very accurate,Rather inaccurate,Associate professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather inaccurate,Completely inaccurate,Full professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Rather accurate,Very accurate,Rather accurate,Rather accurate,Very accurate,SNSF professor
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Assistant Professor (with tenure track)
2,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Very accurate,Rather inaccurate,SNSF professor
